algorithm,dataset,mpi_processes,threads,runs,primary_metric,primary_metric_value,status,total_time,total_time_exec,compute_time,sync_time,barrier_time,sync_bytes,graph_construct_time,replication_factor,comm_mem_max,comm_mem_min,inspect_bytes,load_bytes,load_messages,peak_load_bytes,replication_nodes,replication_edges,total_node_proxies,total_edge_proxies,edge_inspection_time,edge_loading_time
BFS,roadNet-PA,1,1,20,compute_time,2635.25,ok,56700.0,2800.35,2635.25,1.5,0,0,265.0,1.0,0,0,,,,,1.0,,,,64,62
BFS,roadNet-PA,2,1,20,compute_time,2322.95,ok,229033.0,11394.7,2322.95,6096.8,0,1136228,312.0,1.0071,0,0,,,,,1.0071,,,,70,87
BFS,roadNet-PA,4,1,20,compute_time,2025.0,ok,616942.0,30717.8,2025.0,17828.35,0,2030272,486.0,1.0147,0,0,,,,,1.0147,,,,97,124
BFS,roadNet-PA,6,1,20,compute_time,1508.3,ok,1098467.0,54698.25,1508.3,33883.5,0,2428592,542.0,1.0186,0,0,,,,,1.0186,,,,146,107
BFS,roadNet-PA,8,1,20,compute_time,911.95,ok,1722972.0,85824.4,911.95,49534.15,0,3765168,664.0,1.0288,0,0,,,,,1.0288,,,,225,130
BFS,web-Google,1,1,20,compute_time,350.1,ok,7977.0,354.25,350.1,0,0,0,370.0,1.0,0,0,,,,,1.0,,,,90,109
BFS,web-Google,2,1,20,compute_time,403.8,ok,20994.0,940.95,403.8,440.8,0,4659660,1162.0,1.8228,0,0,,,,,1.8228,,,,165,744
BFS,web-Google,4,1,20,compute_time,363.85,ok,41847.0,1844.5,363.85,1052.1,0,10581684,1850.0,2.9962,0,0,,,,,2.9962,,,,267,1057
BFS,web-Google,6,1,20,compute_time,358.15,ok,69849.0,3135.1,358.15,1915.3,0,14440336,2055.0,3.8183,0,0,,,,,3.8183,,,,362,1081
BFS,web-Google,8,1,20,compute_time,326.9,ok,106329.0,4800.15,326.9,2950.3,0,17478832,2346.0,4.4474,0,0,,,,,4.4474,,,,430,1153
BFS,wiki-talk-temporal,1,1,20,compute_time,291.05,ok,6990.0,292.9,291.05,0,0,0,491.0,1.0,0,0,,,,,1.0,,,,124,146
BFS,wiki-talk-temporal,2,1,20,compute_time,286.3,ok,18097.0,776.9,286.3,422.75,0,5043900,1115.0,1.737,0,0,,,,,1.737,,,,238,636
BFS,wiki-talk-temporal,4,1,20,compute_time,384.95,ok,30986.0,1302.25,384.95,750.55,0,7978736,1481.0,2.2796,0,0,,,,,2.2796,,,,432,744
BFS,wiki-talk-temporal,6,1,20,compute_time,410.75,ok,45018.0,1846.45,410.75,1111.05,0,9184936,2171.0,2.457,0,0,,,,,2.457,,,,682,799
